Hindi,English
है,Is
के,Of
मैं,I
नहीं,No
हैं,Are
में,In
एक,One
आप,You
लिए,For
और,And
यह,it
से,From
की,of
क्या,What
कि,That
तुम,You
हो,yes
कर,Tax
मुझे,Me
को,To
हम,We
था,Was
वह,He
पर,But
हूँ,am
रहे,are
भी,Too
रहा,Raised
का,Of
अपने,Our
कुछ,Some?
तो,So
गया,Went
इस,This
मेरे,My
ठीक,Correct
करने,Do
किया,Did
साथ,with
उसे,Him
हाँ,Yes
वे,They
सकते,Can
लेकिन,But
यहाँ,Here
तुम्हें,You
कोई,Any
तरह,Kind
अब,Now
पता,Address
होगा,will be
बहुत,Very
बात,talk
सकता,Can
जाओ,Go
ही,Sole
दिया,Gave
करना,to do
जा,Go
मेरी,My
सब,All
बारे,About
लगता,Festive
कहा,Said
जो,Who
वहाँ,There
जब,When
इसे,This
अच्छा,Good
चाहिए,Needed
बाहर,Outside
करो,do it
क्यों,Why
अपनी,Own
थे,Were
चलो,Let us go
दो,Two
ले,Take
किसी,Any
फिर,Then
काम,Work
अगर,If
ये,These
कैसे,How
करते,Do
पहले,First
बस,Bus
चाहते,Want
जाएगा,Will go
आदमी,Man
कभी,Sometimes
समय,Time
वापस,Back
हमें,Us
रही,doing
आ,Come
तक,till
हमारे,Our
मेरा,My
रूप,Form
मैंने,I
करता,Do
या,Or
अभी,Now!
मिल,Mill
चाहता,Want
घर,Home
उसके,His
सभी,All
उस,That
मत,Don't
आपको,To you
जाना,Go
अरे,Oho
सिर्फ,Only
बंद,Close
ओह,Oh
सही,Correct
हूं,Am
थी,Was
देखो,See
तुम्हारे,Your
प्यार,Love
वो,They
जरूरत,Need
लोगों,People
हुआ,Happened
करें,Do
ऐसा,As such
उन्होंने,They
दिन,Day
न,No
बाद,after
कौन,Who
हर,every
पास,Near
दे,Give
नीचे,Below
देखा,saw
जाता,go
बार,Times
कृपया,Please
धन्यवाद,Thank you
पिता,Father
करेंगे,do
भगवान,God
क्योंकि,Because
लोग,People
वाला,Wave
जानते,Know
देख,See
छोड़,Quit
आज,Today
मतलब,Meaning
कहाँ,Where?
जीवन,Life
आओ,Come
जाने,Go
अधिक,More
यही,This only
होता,Would
सर,Sir
मदद,Help
रात,Night
माँ,Mother
लिया,Lax
केवल,Only
तुमने,you have
सबसे,To all
नाम,Name
मार,Kill
हुए,Has
हमेशा,Always
याद,Memory
कारण,Reason
गए,Went
आया,Came
जानता,knows
शायद,Perhaps
साल,Year
दूर,away
हे,Hey
होने,Having
फोन,Phone
भाई,Brother
वास्तव,really
शुरू,Start
उसकी,His
मिला,found
जगह,Place
कोशिश,Effort
कम,Less
सच,Truth
लग,Lag
शादी,Marriage
पसंद,Like
चला,walked
इन,in
अच्छी,Good
तुम्हारी,yours
यहां,Here
दोस्त,Friend
मर,Die
कहते,Say
होना,Happen
दुनिया,World
तुम्हारा,yours
एम,M
कह,Say
इसके,Its
रुको,wait
तैयार,Ready
बच्चे,Children
लो,Take
उनके,Their
जैसे,As
इतना,This much
जल्दी,Quick
अंदर,Inside
श्री,Mister
यदि,If
कल,Tomorrow
ऊपर,Above
देंगे,Will give
आपके,Your
हमारी,Our
बताओ,Tell
खुद,Self
गई,Went
अपना,own
खैर,well
उसने,He
वाले,Wale
चलते,Go
रहो,Stay
दी,Gave
मिलता,Meet
